QUESTION	ANSWER	Tags	Cat	Rank in cat
Can I apply my deposit to the last month of rent?	No. Deposit will be held until keys are returned and cannot be applied towards rent. 	rent, deposit, keys	Payments	
Where do I park? Is it easy to find parking?	A private parking space is $60 per month, but there's usually a waiting list  so let us know ASAP if you are interested. Free street parking is on Carolan Ave, Cadillac Ave, Rollins Rd, and in the neighborhood off Toyon Dr. Double check any signs! In some places parking is not permitted after certain hours or parking not permitted over 2 hours after 10am. The parking lot in front of the office is not allowed to be used for overnight parking ever.	parking, car	Amenities	
Is the crashpad co-ed? (mixed gender bedrooms)	The apartments are all co-ed. We have several rooms that are female only. Let us know if this is something you are interested in.	people, beds, bunks, co-ed	General	
How many people live in the apartment? How many people per room?	There are 18 people per apartment. Per room there are 8, 6, and 4 people.	people, beds, bunks, co-ed	General	
How many bedrooms / bathrooms are there?	There are 3 bedrooms and 2 full bathrooms.	people, room, bathroom, rooms, bathrooms	General	
What do we need to bring?	Bring twin size sheets, towels, and pillows. The kitchen is fully stocked with dishes, etc for your use. Coffee, rice, and oatmeal are provided free of charge, along with dryer sheets and laundry detergent.	sheets, towels, 	General	
Are the beds bunk beds?	Yes. All beds are bunk beds. They are on a first come basis, with priority given to current tenants.	people, beds, bunks	General	
When is the first month of rent due?	First month of rent is due the day you move in. Please check in for the prorated amount due.	Rent, prorate, 	General	
Is there a shuttle or bus service to get to and from the airport?	[Crown Plaza SFO](https://goo.gl/maps/X8DYDNUx9Q32) is every 15 min and closest. [Holiday Inn Airport](https://goo.gl/maps/rrDGgW8f9p82) is every 30 min and you CANNOT be in uniform. It takes the shuttles about 8 minutes to get to T1 and 14 minutes to farthest international terminal.	directions, to the apartment, from the apartment, location, bus, shuttle	Transportation	
How much is deposit? When will it be returned?	Deposit is $100 and will be returned after move out, with 30 days notice, once all keys are returned.	deposit, keys	General	
What happens if I lost my key / keys?	We will issue you new keys and there will be a $50 charge taken from your deposit.	deposit, keys	General	
What's up with the food on the front of the dining table?	It's for everyone! See something you like? It's yours!	food, table, community	General	
Is there an easy way to get around Burlingame?	[Burlingame Trolley Service](https://burlingamechamber.org/visiting-burlingame/getting-around-town/) runs Monday through Saturday serving both the Burlingame Avenue and Broadway shopping areas and Airport Hotels. [Schedule PDF](https://burlingamechamber.org/wp-content/uploads/2014/04/ShowDocument.pdf)	trolley	Transportation	
What is move out process?	Give 30 days notice, confirm move out once keys are returned and bed / bins are empty. Deposit will be returned only after keys have been returned.		Respsonsibilies	
Where do we empty out the trash?	Trash chutes are located on the north stairway (except Sunny Tulip where it is South). There's a square metal door in the wall that drops into the dumpster.		General	
When is rent due? How much is the late fee?	Rent is due on the 1st of each month. Rent is considered late if not received on or before the 3rd of each month. There is a $5 fee for each date rent is late.		Payments	
How can I pay rent?	Venmo, Cash app, PayPal, Zelle, Check, Bitcoin, Ethereum are all accepted. Cash payments are allowed by request only.		Payments	
Do I need to bring sheets, towels or pillows?	Yes. You will provide almost everything you need. We provide toilet paper, hand/dish soap, laundry detergent, dryer sheets, disinfectant wipes, oatmeal, rice, coffee, paper towels and occasionally other goodies.		General	
How many storage bins will we get?	Everyone gets the following: a toiletries bin, a dry goods bin, a fridge bin, and an underbed bin. There is space to hang your towel in the bathroom and for some shoes at the entrance. There will be closet space as well to hang some clothing. Depending on which room, this could be either in a closet or a wardrobe closet. Some rooms come with an additional drawer in a piece of furniture or a storgage cube. 		General	
Where can I put my bicycle? Will my bike get stolen?	For shiny, nice bicycles, we offer in-crashpad storage on wall for $20 per month. For commuter bicycles, a high quality U-lock should be sufficient. However, bike theft is common in the Bay Area and no lock is 100%.		Transportation	
What are good restaurants in the area?	Maverick Jack's ([GMap](https://goo.gl/maps/1ZJ3Xbj96DE2) / [Menu](http://www.maverickjacks.com/menus/)) has good, locally-sourced burgers and $10 Tuesday special. Bonne Sante has huge sandwiches that are good, but not gourmet by any means. Que SeRaw SeRaw has counter service small vegan bites and desserts. Mingalaba does Burmese food justice. Rasoi has some great Indian flavors. Limon Rotisserie slangs some damn fine chicken, but $28 / whole chicken breaks the bank a little.		Amenities	
Can I submit an official USPS change of address form?	No. Please do not officially change your address to the crashpad. The tiny mailbox would literally explode if just a few people did this.		Respsonsibilies	
Can my friend sleep on couch or in my bed?	To maintain a comfortable living area for everyone, no one is ever allowed to sleep on the couch. You are the only person allowed to sleep in your bed. Friends can visit the pad, but this is subject to availability and express prior approval.		General	
Where is the nearest BART?	[Milbrae BART station](https://goo.gl/maps/aCJMVCStp112) ([schedule](https://www.bart.gov/stations/mlbr/schedule) is 1.8 miles north via California Dr. CalTrain available at [Burlingame Station](https://goo.gl/maps/jCtKc1RYobx) and [Broadway Station](https://goo.gl/maps/Zpab8j6KZKw) on weekends only.		Transportation	
Is there a pool? Spa / hot tub / Jacuzzi?	Yes. There are two large pools in the complex and one large hot tub.		Amenities	
Can I talk to the leasing office / apartment management?	Since your name isn't listed on the lease, you aren't an official resident and cannot speak with office staff as a resident! Please do not go to the office or talk to management in regards to the apartment!		Respsonsibilies	
How do we do laundry? Is there a laundromat nearby?	There is a waasher and dryer at the apartment. We provide free laundry detergent and dryer sheets.		Amenities	
Am I required to do chores or deep cleaning?	We do not require any serious cleaning from our residents. The crashpad is for when you are done with work. We ask you to do all your own dishes and keep all your belongings tidy, but you'll never be scrubbing a toilet bowl or bath tub!		Amenities	
How much is rent? When is it due?	Rent is $375 and is due on the first of every month. The grace period for rent extends through the 3rd. Rent paid on the 4th of the month is considered late and will be assessed at $5 per day late fee.		General	
Do I have to sign a lease? Is there a contract?	You do not have to sign a lease and no credit check will be done. We do ask you sign a contract that requires 30 day move-out notice to receive your entire refundable deposit back. This is a month-to-month arrangement.		General	
Where is the nearest CalTrain station?	CalTrain available at [Burlingame Station](https://goo.gl/maps/jCtKc1RYobx) and [Broadway Station](https://goo.gl/maps/Zpab8j6KZKw) on weekends only.		Transportation	
I have a comment, complaint, suggestion or issue.	Let us know! We love all feedback good or bad. Even though we feel we do a great job, we are always trying to improve!		General	
